ward_1,hh_number,head_gender,households_no,people_no,own_dogs,dog_no,dogs_vacc,fenced,fence_restrain,shelter,rabies_aware
Kabisaga,101,male,3,3,yes,3,0,yes,no,no,1
Ndalat,102,male,3,15,yes,6,1,yes,no,no,1
Ndalat,103,male,1,6,yes,7,0,yes,no,yes,1
Lelmokwo/Ngechek,104,male,2,8,yes,2,1,yes,no,no,1
Kabisaga,105,male,1,5,no,,,,,,1
Ndalat,106,female,6,2,yes,1,1,yes,no,no,1
Lelmokwo/Ngechek,107,male,2,9,no,,,,,,1
Ndalat,108,male,1,6,yes,2,1,yes,no,no,1
Lelmokwo/Ngechek,109,male,4,30,yes,1,0,yes,no,yes,1
Kabisaga,110,male,1,6,yes,1,0,yes,no,yes,1
Kabisaga,111,female,3,3,yes,4,0,,,,1
Ndalat,112,male,1,2,no,,,,,,1
Ndalat,113,male,3,2,yes,1,0,yes,no,no,1
Kabisaga,114,male,2,7,no,,,,,,1
Lelmokwo/Ngechek,115,male,1,5,yes,7,0,yes,no,no,0
Kabisaga,116,male,1,6,yes,2,0,no,,yes,1
Ndalat,117,male,1,5,yes,2,0,yes,no,no,0
Kabisaga,118,male,2,2,no,,,,,,0
Ndalat,119,male,1,6,yes,3,0,yes,no,yes,1
Ndalat,120,female,1,5,no,,,,,,1
Lelmokwo/Ngechek,121,male,1,4,yes,2,0,yes,no,no,1
Lelmokwo/Ngechek,122,female,3,12,yes,1,0,yes,no,yes,0
Kabisaga,123,female,1,4,yes,7,0,yes,no,yes,1
Kabisaga,124,male,4,4,no,,,,,,1
Ndalat,125,male,1,5,no,,,,,,1
Kabisaga,126,male,1,7,yes,1,0,yes,no,no,1
Kabisaga,127,female,1,8,no,,,,,,1
Kabisaga,128,male,4,4,yes,4,1,yes,no,no,1
Lelmokwo/Ngechek,129,female,1,3,yes,2,0,yes,no,no,1
Ndalat,130,female,1,5,yes,1,0,yes,no,no,0
Ndalat,131,male,1,7,yes,2,0,yes,no,no,1
Ndalat,132,male,2,5,yes,2,0,yes,no,no,1
Kabisaga,133,male,1,7,yes,1,0,yes,yes,no,1
Kabisaga,134,male,2,8,yes,1,0,yes,no,no,1
Ndalat,135,male,1,3,yes,2,0,yes,no,no,0
Kabisaga,136,female,7,7,yes,3,0,yes,no,no,0
Lelmokwo/Ngechek,137,male,1,4,no,,,,,,1
Ndalat,138,male,1,7,yes,1,0,yes,no,no,1
Kabisaga,139,male,1,8,yes,2,1,no,,no,1
Kabisaga,140,male,4,4,yes,1,0,yes,no,no,1
Kabisaga,141,male,7,7,yes,1,0,yes,yes,yes,1
Lelmokwo/Ngechek,142,male,1,6,no,,,,,,1
Kabisaga,143,male,1,3,no,,,,,,1
Kabisaga,144,female,2,12,no,,,,,,1
Kabisaga,145,male,4,4,no,,,,,,1
Kabisaga,146,female,2,2,no,,,,,,1
Kabisaga,147,female,2,2,yes,1,0,yes,no,no,1
Kabisaga,148,male,1,7,yes,5,1,yes,yes,no,1
Kabisaga,149,male,5,5,yes,2,0,yes,no,no,1
Kabisaga,150,male,4,4,yes,2,0,yes,no,no,1
Kabisaga,151,female,1,3,yes,1,0,no,,no,1
Kiptuiya,152,male,1,7,no,,,,,,1
Kiptuiya,153,male,1,4,no,,,,,,1
Kiptuiya,154,female,2,8,no,,,,,,1
Kiptuiya,155,male,1,9,no,,,,,,1
Kiptuiya,156,female,2,4,no,,,,,,0
Kiptuiya,157,male,2,4,yes,1,1,yes,no,no,0
Kiptuiya,158,female,1,7,yes,1,0,yes,no,yes,1
Sangalo,159,male,3,12,yes,4,0,yes,no,no,1
Sangalo,160,male,2,5,no,,,,,,1
Kiptuiya,161,female,2,10,yes,8,0,yes,no,yes,0
Kiptuiya,162,male,2,10,no,,,,,,0
Kiptuiya,163,female,1,3,no,,,,,,1
Kiptuiya,164,male,6,6,yes,4,1,yes,yes,yes,1
Sangalo,165,male,2,2,yes,2,1,yes,no,yes,1
Sangalo,166,female,2,9,yes,1,0,no,,no,1
Kiptuiya,167,female,1,7,no,,,,,,1
