ward_1,hh_number,head_gender,households_no,people_no,own_dogs,dog_no,dogs_vacc,fenced,fence_restrain,shelter,rabies_aware
Chemelil/Chemase,472,female,10,10,yes,2,0,no,,no,1
Chepkunyuk,473,male,2,7,yes,1,0,yes,no,no,1
Ollessos,474,male,1,5,yes,1,1,yes,no,no,1
Chepkunyuk,475,female,2,4,no,,,,,,1
Chemelil/Chemase,476,male,1,7,yes,1,1,yes,no,no,1
Chemelil/Chemase,477,female,2,16,yes,2,0,no,,no,1
Chepkunyuk,478,male,4,17,yes,6,0,no,,no,1
Chepkunyuk,479,male,2,2,yes,1,0,yes,no,no,0
Chemelil/Chemase,480,female,1,8,yes,2,0,no,,no,1
Chepkunyuk,481,male,3,6,yes,1,0,yes,no,no,1
Chemelil/Chemase,482,female,7,7,yes,1,0,no,,no,1
Ollessos,483,male,4,5,yes,3,1,yes,yes,yes,1
Chemelil/Chemase,484,female,2,3,no,,,,,,1
Chepkunyuk,485,male,2,7,yes,2,0,no,,no,1
Chemelil/Chemase,486,male,2,3,no,,,,,,1
Ollessos,487,male,1,4,no,,,,,,1
Chepkunyuk,488,female,5,24,yes,2,0,no,,no,1
Ollessos,489,male,1,9,yes,1,1,yes,no,no,0
Chemelil/Chemase,490,male,3,3,yes,1,0,no,,no,1
Chemelil/Chemase,491,male,1,7,no,,,,,,1
Chepkunyuk,492,female,1,4,yes,2,0,yes,no,no,1
Chemelil/Chemase,493,male,1,5,no,,,,,,1
Chemelil/Chemase,494,male,6,6,yes,3,0,no,,no,1
Chepkunyuk,495,male,2,7,no,,,,,,1
Ollessos,496,male,2,8,no,,,,,,1
Chepkunyuk,497,female,2,5,no,,,,,,1
Ollessos,498,male,1,4,yes,2,0,yes,no,no,1
Chemelil/Chemase,499,female,5,5,yes,4,0,no,,no,1
Chemelil/Chemase,500,male,1,10,no,,,,,,0
Chepkunyuk,501,male,1,6,no,,,,,,1
Chemelil/Chemase,502,female,2,4,no,,,,,,1
Chemelil/Chemase,503,male,1,6,yes,3,0,no,,no,1
Chepkunyuk,504,male,2,5,yes,1,0,yes,no,yes,1
Ollessos,505,female,2,7,yes,7,0,no,,no,0
Chemelil/Chemase,506,female,3,2,no,,,,,,1
Chemelil/Chemase,507,male,1,8,no,,,,,,0
Chepkunyuk,508,male,1,2,no,,,,,,1
Chepkunyuk,509,male,3,6,yes,1,1,yes,no,yes,1
Chepkunyuk,510,male,2,5,no,,,,,,1
Chemelil/Chemase,511,female,7,4,yes,3,1,no,,no,1
Chepkunyuk,512,female,2,16,no,,,,,,1
Ollessos,513,male,1,4,yes,1,0,yes,no,no,1
Chemelil/Chemase,514,male,2,7,yes,2,0,yes,no,no,1
Chepkunyuk,515,male,2,4,no,,,,,,1
Chepkunyuk,516,male,2,9,yes,2,1,yes,no,no,1
Chemelil/Chemase,517,female,1,4,yes,3,0,no,,no,1
Chemelil/Chemase,518,female,1,1,no,,,,,,1
Chepkunyuk,519,male,2,17,yes,2,1,no,,no,1
Chepkunyuk,520,male,3,9,yes,5,0,yes,no,no,1
Chemelil/Chemase,521,female,7,7,yes,1,1,yes,no,no,1
Chepkunyuk,522,male,1,10,no,,,,,,1
Ollessos,523,male,,6,no,,,,,,1
Chepkunyuk,524,female,2,7,yes,1,0,no,,no,1
Chepkunyuk,525,male,1,3,no,,,,,,1
Chepkunyuk,526,male,4,20,no,,,,,,1
Ollessos,527,male,1,6,yes,3,1,yes,no,yes,1
Chemelil/Chemase,528,male,1,9,yes,5,0,yes,yes,no,1
Chepkunyuk,529,male,1,2,yes,3,1,yes,no,yes,1
Chemelil/Chemase,530,male,1,5,no,,,,,,1
Chemelil/Chemase,531,male,6,4,yes,1,,no,,no,1
Chepkunyuk,532,female,2,5,yes,2,1,yes,no,no,1
Chepkunyuk,533,male,2,5,yes,3,0,yes,no,no,1
Chemelil/Chemase,534,female,1,3,no,,,,,,1
Ollessos,535,female,2,6,no,,,,,,1
Chepkunyuk,536,male,1,4,yes,2,1,yes,no,no,1
Chepkunyuk,537,male,2,8,no,,,,,,1
Chemelil/Chemase,538,male,1,1,no,,,,,,1
Chemelil/Chemase,539,male,1,9,yes,2,0,no,,no,1
Ollessos,540,female,1,4,yes,3,0,yes,no,no,1
Chemelil/Chemase,541,female,4,4,yes,1,0,yes,no,no,1
Chepkunyuk,542,male,4,25,yes,5,0,yes,no,yes,1
Ollessos,543,female,1,9,yes,1,0,yes,no,no,1
Chepkunyuk,544,female,1,1,yes,1,1,yes,no,no,1
Chemelil/Chemase,545,male,1,2,no,,,,,,1
Chepkunyuk,546,male,2,1,no,,,,,,1
Chemelil/Chemase,547,male,6,6,yes,1,0,yes,yes,no,1
Chepkunyuk,548,male,3,4,no,,,,,,1
Ollessos,549,male,1,1,no,,,,,,1
Chemelil/Chemase,550,male,2,4,yes,1,1,yes,no,no,1
Chepkunyuk,551,male,1,9,yes,1,0,yes,no,yes,1
Chemelil/Chemase,552,male,3,3,yes,1,0,yes,no,no,1
Chepkunyuk,553,female,2,5,no,,,,,,1
Chepkunyuk,554,female,1,6,no,,,,,,1
Chepkunyuk,555,male,3,4,yes,1,1,yes,no,no,1
Ollessos,556,female,1,6,no,,,,,,1
Chemelil/Chemase,557,female,1,9,yes,3,0,no,,no,0
Chepkunyuk,558,female,3,9,no,,,,,,0
Chepkunyuk,559,male,4,12,yes,1,1,yes,no,yes,1
Chepkunyuk,560,male,1,4,no,,,,,,1
Chepkunyuk,561,male,1,5,no,,,,,,1
Chepkunyuk,562,male,5,12,yes,1,1,no,,no,1
Chemelil/Chemase,563,female,3,3,no,,,,,,0
Chepkunyuk,564,male,1,6,no,,,,,,1
Chepkunyuk,565,male,2,5,yes,1,1,no,,no,1
Chemelil/Chemase,566,male,1,12,no,,,,,,1
Chepkunyuk,567,male,2,5,yes,9,1,yes,no,no,1
Ollessos,568,female,3,6,yes,5,0,yes,no,yes,1
Chepkunyuk,569,male,6,23,no,,,,,,1
Chepkunyuk,570,male,2,4,yes,1,0,yes,no,no,1
Chepkunyuk,571,male,1,6,yes,2,1,yes,no,no,1
Chepkunyuk,572,female,1,9,no,,,,,,0
Chepkunyuk,573,male,3,16,yes,1,1,no,,no,1
Chepkunyuk,574,female,1,8,no,,,,,,1
Chepkunyuk,575,female,2,9,yes,3,0,yes,no,no,0
Chepkunyuk,576,female,4,17,no,,,,,,1
Chepkunyuk,577,male,1,5,yes,1,0,no,,no,1
Chepkunyuk,578,female,3,20,yes,1,0,no,,no,1
Chepkunyuk,579,male,2,9,yes,1,0,no,,no,1
Chepkunyuk,580,male,2,16,yes,1,1,no,,no,1
